,ID,Depth,Skinlatency,DR threshold test,Note1,Note2,Note3,Note4,Note5,Skin-4,Skin-3,Skin-2,Skin-1,Skin0,Skin1,Skin2,Skin3,Skin4,Ia-4,Ia-3,Ia-2,Ia-1,Ia0,Ia1,Ia2,Ia3,Ia4,Ib-4,Ib-3,Ib-2,Ib-1,Ib0,Ib1,Ib2,Ib3,Ib4,II-4,II-3,II-2,II-1,II0,II1,II2,II3,II4,Pyr-4,Pyr-3,Pyr-2,Pyr-1,Pyr0,Pyr1,Pyr2,Pyr3,Pyr4,aMN-4,aMN-3,aMN-2,aMN-1,aMN0,aMN1,aMN2,aMN3,aMN4,LRN-4,LRN-3,LRN-2,LRN-1,LRN0,LRN1,LRN2,LRN3,LRN4
0,JSNT0001,1.93,4.8,Yes,,d1 ventr,,,,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JSNT0003,2.08,4.8,Yes,,d1 ventr,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PSNT0003-4,2.12,4.3,,,rad wr,,,,-20,0,-20,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,QSNT0004,2.72,4.3,Yes,,uln prox,,,,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,QSNT0005,2.11,4.2,,,rad dist,,,,0,0,-20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,QSNT0009,2.42,4.2,no,,d4,,,,0,-20,-40,0,0,10,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,QSNT0014-15,1.86,4.4,Yes,(AD aMN),rad dist,,,,0,0,0,0,0,40,30,0,10,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SSNT0006,2.24,3.7,no,(AD aMN),(SR),,,,0,0,0,0,0,70,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SSNT0010,3.31,3.7,no,,(SR),,,,0,0,-20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SSNT0012,2.72,4.0,,,(SR),,,,0,0,-20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,MSNT0002,2.98,3.8,no,,d2d3,,,,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,MSNT0003,3.04,5.0,no,,d3,,,,0,0,0,0,0,40,20,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MSNT0004,2.48,4.0,no,(AD aMN),d1,,"Error: It was group Ia, not group II",,0,0,0,0,0,20,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,MSNT0005,2.57,4.5,,(AD aMN),d1,,,,0,0,0,0,0,40,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,MSNT0006,2.73,3.7,,,central pad,,Error: no response from Ia (remove disyn inhibition),,0,0,-20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MSNT0008,2.69,3.4,,,d1,,"Error: wrong filename, changed to MSNT0008",,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MSNT0009,1.92,3.4,,,dors,,,,0,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MSNT0011,2.12,3.7,no,,uln prox,,,,0,0,0,0,0,60,10,5,0,0,0,-10,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MSNT0012,1.81,4.0,no,,uln prox,,illustration,,0,0,-30,0,0,40,30,0,40,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MSNT0013-14,1.92,4.0,no,,d1 ventr,,illustration,NOTE:additional skin +2; 2.0 identified to this neuron,0,0,-20,0,0,40,20,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NSNT0001,1.61,4.0,Yes,(AD aMN),d4d5,,"Error: skin input is -2; -2.0 (not +2); in addition, Ia -2;-4.0",,0,0,-20,0,0,10,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NSNT0003,2.01,4.0,,(AD aMN),uln,,,,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,NSNT0007,1.31,,no,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NSNT0011,2.01,4.0,no,,,,,,0,0,-10,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NSNT0013,2.59,4.0,no,,,,"Error: disynaptic inhibition from Ib was now added, Ib -2;-2.0",,0,0,-10,0,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,-20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NSNT0014,2.85,4.0,no,(AD aMN),d2 dors,,illustration,,0,-20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,NSNT0015,2.93,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,-10,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NSNT0016,3.06,,,,d4d5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NSNT0018,2.02,4.0,,,,,,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
