ID,Skin-2,Skin1,Ia-2,Ia1,Ib-2,Ib1
JSNT0001,0,1,0,0,1,1
JSNT0003,0,0,0,0,1,1
PSNT0003-4,1,1,0,0,0,0
QSNT0004,0,1,0,0,0,1
QSNT0005,1,1,0,0,0,0
QSNT0009,1,1,1,0,0,0
QSNT0014-15,0,1,0,1,1,1
SSNT0006,0,1,0,0,0,1
SSNT0010,1,1,0,0,1,0
SSNT0012,1,1,0,0,0,0
MSNT0002,0,1,0,1,0,0
MSNT0003,0,1,0,1,0,0
MSNT0004,0,1,0,1,0,0
MSNT0005,0,1,0,0,0,0
MSNT0006,1,1,0,0,0,0
MSNT0008,0,1,0,0,0,0
MSNT0009,0,1,0,0,0,0
MSNT0011,0,1,1,0,1,0
MSNT0012,1,1,1,0,0,0
MSNT0013-14,1,1,1,0,0,0
NSNT0001,1,1,1,0,0,0
NSNT0003,0,1,0,0,0,0
NSNT0007,0,0,0,0,0,1
NSNT0011,1,1,0,0,1,0
NSNT0013,1,1,0,1,1,1
NSNT0014,1,1,0,0,0,1
NSNT0015,0,0,0,0,0,0
NSNT0016,0,0,0,0,0,0
NSNT0018,0,1,0,0,0,0
NSNT0020,0,1,0,0,0,0
OSNT0004,1,1,1,0,1,1
OSNT0016,0,0,1,1,0,0
OSNT0020,0,1,0,0,0,1
OSNT0021,1,1,0,0,1,1
OSNT0022,0,1,0,0,0,1
OSNT0027,1,1,0,0,0,1
OSNT0030,1,1,0,0,1,1
OSNT0040,1,1,0,0,1,1
LSNT0000,1,1,0,1,0,0
LSNT0003,0,1,0,0,0,1
LSNT0007,1,1,1,1,0,1
LSNT0008,1,1,1,1,0,0
LSNT0016,0,1,0,0,1,1
LSNT0018,1,1,0,1,0,0
LSNT0019,0,1,0,0,1,1
ISNT0000,1,1,0,0,0,0
ISNT0001,0,1,0,0,1,1
ISNT0003,1,1,0,0,1,1
ISNT0004,0,1,1,1,0,0
ISNT0012,1,1,0,0,1,1
ISNT0013,1,1,1,1,0,0
ISNT0015,0,1,0,0,0,0
HSNT0005,0,1,0,0,1,1
HSNT0011,0,1,0,0,0,0
IEWP0019p1,1,1,0,0,1,1
IEWP0019p2,0,1,0,0,0,1
IFWP0004p2,1,0,0,0,0,1
IFWP0006p2,0,1,0,0,1,1
GSNT0000,1,0,0,0,1,1
GSNT0002,0,0,1,0,0,0
GSNT0003,0,0,0,0,0,1
GSNT0005,0,1,0,0,1,1
GSNT0007,1,1,0,0,0,0
FSNT0006,0,1,0,0,0,1
FSNT0007,1,1,1,1,0,0
FSNT0008,1,1,1,1,1,0
ESNT0005,1,1,0,0,1,1
ESNT0008,0,1,0,0,0,0
LSNT0005,0,0,0,0,0,1
LSNT0009,1,1,1,1,0,0
LSNT0011,0,1,0,0,0,0
LSNT0012,1,1,1,1,0,0
LSNT0013,1,1,0,0,0,0
LSNT0014,1,1,0,0,0,0
LSNT0015,0,1,0,0,1,1
LSNT0020,1,1,0,0,0,0
NSNT0004,0,0,0,0,1,1
NSNT0012,1,1,0,0,0,0
PSNT0006,1,1,0,0,0,0
PSNT0007,1,1,0,0,0,0
PSNT0010,1,1,0,0,0,0
SSNT0007,1,0,0,0,0,1
SSNT0011,0,0,1,1,0,0
QSNT0010,1,1,1,0,0,0
QSNT0011,1,0,0,0,1,0
OSNT0008,1,1,1,1,0,0
OSNT0010,1,1,1,1,0,0
OSNT0013,1,1,1,0,1,1
OSNT0015,0,0,0,1,0,0
OSNT0023,1,1,1,1,0,1
OSNT0025,1,1,1,0,0,0
OSNT0028,1,1,1,1,1,1
OSNT0032,1,1,1,1,0,0
OSNT0034,1,1,1,1,0,0
OSNT0037,0,0,1,1,0,0
OSNT0042,0,1,0,1,0,0
OSNT0043,0,0,0,0,1,1
OSNT0045,0,1,0,0,0,0
MSNT0001,1,1,0,0,0,0
MSNT0015,0,1,0,0,0,0
MSNT0016,0,1,0,0,0,0
MSNT0017,0,1,0,0,0,0
MSNT0018,0,0,0,0,1,1
MSNT0019,0,0,0,0,0,0
IAWP0003p1,1,1,0,0,0,1
IAWP0004p1,1,1,0,0,1,1
IAWP0007p2,1,1,0,0,1,1
IBWP0005-1,1,1,0,0,0,0
IBWP0006-2,0,1,0,0,1,1
IBWP0009,0,1,0,0,1,1
IBWP0011-1,0,1,0,1,0,0
IBWP0011-2,1,1,0,0,0,0
IBWP0013,0,1,0,0,0,1
ICWP0007,1,1,0,0,1,1
