ID,Ia-2,Ia1,Ib-2,Ib1,Skin-2,Skin1
JSNT0001,0,0,0,1,1,1
JSNT0003,0,1,0,1,0,0
PSNT0003-4,0,0,0,1,0,1
QSNT0004,0,1,0,0,0,1
QSNT0005,0,0,0,0,1,1
QSNT0009,1,0,1,0,1,0
QSNT0014-15,1,1,0,1,0,1
SSNT0006,0,1,0,0,0,1
SSNT0010,1,0,0,1,0,1
SSNT0012,0,0,1,0,0,1
MSNT0002,0,0,0,1,0,1
MSNT0003,1,0,0,0,1,0
MSNT0004,0,1,0,0,0,0
MSNT0005,0,0,0,0,0,1
MSNT0006,1,0,0,0,1,1
MSNT0007,0,0,0,0,0,1
MSNT0009,0,0,0,0,0,1
MSNT0011,1,0,0,0,1,1
LSNT0011,0,0,0,0,0,1
LSNT0012,1,1,0,0,1,1
LSNT0013,0,0,0,0,1,1
LSNT0014,0,0,0,0,1,1
LSNT0015,0,0,1,0,1,1
LSNT0020,0,0,0,0,1,1
NSNT0004,0,0,0,0,1,1
NSNT0012,1,0,0,0,0,1
PSNT0006,0,0,1,0,1,0
PSNT0007,0,0,0,0,1,1
PSNT0010,1,0,0,1,0,0
SSNT0007,0,1,0,0,0,1
SSNT0011,0,0,0,0,1,1
QSNT0010,0,0,1,0,1,1
QSNT0011,0,0,1,0,0,1
OSNT0008,0,1,1,1,0,1
OSNT0010,1,0,0,1,1,1
OSNT0013,1,1,1,1,0,1
OSNT0015,0,0,0,0,1,0
OSNT0023,1,1,0,1,1,1
OSNT0025,1,0,0,0,1,1
OSNT0028,1,1,1,1,1,1
OSNT0032,0,1,1,0,1,1
OSNT0034,0,1,1,1,0,1
OSNT0037,0,0,0,1,0,1
OSNT0042,0,0,1,0,0,1
OSNT0043,0,0,1,0,0,1
OSNT0045,0,0,0,0,0,1
MSNT0001,0,0,1,0,0,1
MSNT0015,0,0,0,0,1,0
MSNT0016,0,0,0,0,0,1
MSNT0017,0,1,0,0,0,0
MSNT0018,0,0,1,0,0,1
MSNT0019,0,0,0,0,0,0
IAWP0003p1,0,0,0,1,1,1
IAWP0004p1,0,1,0,1,1,1
IAWP0007p2,0,0,1,1,1,1
IBWP0005-1,0,0,0,1,0,1
IBWP0006-2,0,0,0,1,1,1
IBWP0009,1,0,0,0,1,1
IBWP0011-1,0,0,0,0,1,1
IBWP0011-2,0,0,0,0,1,1
IBWP0013,0,0,0,0,1,1
ICWP0007,0,0,1,1,1,1

