Name,Value,freq,original
Ia-2 => Ia-2 p = 0.000000,1.000000,10000000,T
Name,Value,freq,original
Ia-2 => Ia1 p = 0.000000,0.037037,1289,F
Ia-2 => Ia1 p = 0.000000,0.074074,13898,F
Ia-2 => Ia1 p = 0.000000,0.111111,91053,F
Ia-2 => Ia1 p = 0.000000,0.148148,362831,F
Ia-2 => Ia1 p = 0.000000,0.185185,894061,F
Ia-2 => Ia1 p = 0.000000,0.222222,1585491,F
Ia-2 => Ia1 p = 0.000000,0.259259,2050273,F
Ia-2 => Ia1 p = 0.000000,0.296296,1999476,F
Ia-2 => Ia1 p = 0.000000,0.333333,1521126,F
Ia-2 => Ia1 p = 0.000000,0.370370,877807,F
Ia-2 => Ia1 p = 0.000000,0.407407,405585,F
Ia-2 => Ia1 p = 0.000000,0.444444,143056,F
Ia-2 => Ia1 p = 0.000000,0.481481,41640,F
Ia-2 => Ia1 p = 0.000000,0.518519,10095,F
Ia-2 => Ia1 p = 0.000000,0.555556,1807,F
Ia-2 => Ia1 p = 0.000000,0.592593,308,F
Ia-2 => Ia1 p = 0.000000,0.629630,204,T
Name,Value,freq,original
Ia-2 => Ib-2 p = 0.003984,0.074074,858,F
Ia-2 => Ib-2 p = 0.003984,0.111111,5849,F
Ia-2 => Ib-2 p = 0.003984,0.148148,33133,F
Ia-2 => Ib-2 p = 0.003984,0.185185,140161,T
Ia-2 => Ib-2 p = 0.003984,0.222222,405428,F
Ia-2 => Ib-2 p = 0.003984,0.259259,880994,F
Ia-2 => Ib-2 p = 0.003984,0.296296,1471066,F
Ia-2 => Ib-2 p = 0.003984,0.333333,1906674,F
Ia-2 => Ib-2 p = 0.003984,0.370370,1922849,F
Ia-2 => Ib-2 p = 0.003984,0.407407,1512910,F
Ia-2 => Ib-2 p = 0.003984,0.444444,958222,F
Ia-2 => Ib-2 p = 0.003984,0.481481,481414,F
Ia-2 => Ib-2 p = 0.003984,0.518519,195949,F
Ia-2 => Ib-2 p = 0.003984,0.555556,63659,F
Ia-2 => Ib-2 p = 0.003984,0.592593,17101,F
Ia-2 => Ib-2 p = 0.003984,0.629630,3337,F
Ia-2 => Ib-2 p = 0.003984,0.666667,362,F
Ia-2 => Ib-2 p = 0.003984,0.703704,34,F
Name,Value,freq,original
Ia-2 => Ib1 p = 0.000022,0.111111,38,F
Ia-2 => Ib1 p = 0.000022,0.148148,182,F
Ia-2 => Ib1 p = 0.000022,0.185185,1909,T
Ia-2 => Ib1 p = 0.000022,0.222222,9342,F
Ia-2 => Ib1 p = 0.000022,0.259259,41446,F
Ia-2 => Ib1 p = 0.000022,0.296296,138427,F
Ia-2 => Ib1 p = 0.000022,0.333333,365214,F
Ia-2 => Ib1 p = 0.000022,0.370370,778153,F
Ia-2 => Ib1 p = 0.000022,0.407407,1288579,F
Ia-2 => Ib1 p = 0.000022,0.444444,1721141,F
Ia-2 => Ib1 p = 0.000022,0.481481,1861827,F
Ia-2 => Ib1 p = 0.000022,0.518519,1596960,F
Ia-2 => Ib1 p = 0.000022,0.555556,1127350,F
Ia-2 => Ib1 p = 0.000022,0.592593,637992,F
Ia-2 => Ib1 p = 0.000022,0.629630,290369,F
Ia-2 => Ib1 p = 0.000022,0.666667,103549,F
Ia-2 => Ib1 p = 0.000022,0.703704,29244,F
Ia-2 => Ib1 p = 0.000022,0.740741,6970,F
Ia-2 => Ib1 p = 0.000022,0.777778,1157,F
Ia-2 => Ib1 p = 0.000022,0.814815,91,F
Ia-2 => Ib1 p = 0.000022,0.851852,60,F
Name,Value,freq,original
Ia-2 => Skin-2 p = 0.001406,0.222222,11,F
Ia-2 => Skin-2 p = 0.001406,0.259259,531,F
Ia-2 => Skin-2 p = 0.001406,0.296296,5229,F
Ia-2 => Skin-2 p = 0.001406,0.333333,24680,F
Ia-2 => Skin-2 p = 0.001406,0.370370,85083,F
Ia-2 => Skin-2 p = 0.001406,0.407407,239558,F
Ia-2 => Skin-2 p = 0.001406,0.444444,545332,F
Ia-2 => Skin-2 p = 0.001406,0.481481,1028307,F
Ia-2 => Skin-2 p = 0.001406,0.518519,1530232,F
Ia-2 => Skin-2 p = 0.001406,0.555556,1842103,F
Ia-2 => Skin-2 p = 0.001406,0.592593,1775479,F
Ia-2 => Skin-2 p = 0.001406,0.629630,1391122,F
Ia-2 => Skin-2 p = 0.001406,0.666667,861340,F
Ia-2 => Skin-2 p = 0.001406,0.703704,433328,F
Ia-2 => Skin-2 p = 0.001406,0.740741,170740,F
Ia-2 => Skin-2 p = 0.001406,0.777778,52868,T
Ia-2 => Skin-2 p = 0.001406,0.814815,11760,F
Ia-2 => Skin-2 p = 0.001406,0.851852,2100,F
Ia-2 => Skin-2 p = 0.001406,0.888889,172,F
Ia-2 => Skin-2 p = 0.001406,0.925926,25,F
Name,Value,freq,original
Ia-2 => Skin1 p = 0.345799,0.555556,26,F
Ia-2 => Skin1 p = 0.345799,0.592593,222,F
Ia-2 => Skin1 p = 0.345799,0.629630,3767,F
Ia-2 => Skin1 p = 0.345799,0.666667,22440,F
Ia-2 => Skin1 p = 0.345799,0.703704,111178,F
Ia-2 => Skin1 p = 0.345799,0.740741,397144,F
Ia-2 => Skin1 p = 0.345799,0.777778,1037788,F
Ia-2 => Skin1 p = 0.345799,0.814815,1885428,F
Ia-2 => Skin1 p = 0.345799,0.851852,2490458,T
Ia-2 => Skin1 p = 0.345799,0.888889,2217064,F
Ia-2 => Skin1 p = 0.345799,0.925926,1310075,F
Ia-2 => Skin1 p = 0.345799,0.962963,457159,F
Ia-2 => Skin1 p = 0.345799,1.000000,67251,F
Name,Value,freq,original
Ia1 => Ia-2 p = 0.000000,0.037037,1289,F
Ia1 => Ia-2 p = 0.000000,0.074074,13898,F
Ia1 => Ia-2 p = 0.000000,0.111111,91053,F
Ia1 => Ia-2 p = 0.000000,0.148148,362831,F
Ia1 => Ia-2 p = 0.000000,0.185185,894061,F
Ia1 => Ia-2 p = 0.000000,0.222222,1585491,F
Ia1 => Ia-2 p = 0.000000,0.259259,2050273,F
Ia1 => Ia-2 p = 0.000000,0.296296,1999476,F
Ia1 => Ia-2 p = 0.000000,0.333333,1521126,F
Ia1 => Ia-2 p = 0.000000,0.370370,877807,F
Ia1 => Ia-2 p = 0.000000,0.407407,405585,F
Ia1 => Ia-2 p = 0.000000,0.444444,143056,F
Ia1 => Ia-2 p = 0.000000,0.481481,41640,F
Ia1 => Ia-2 p = 0.000000,0.518519,10095,F
Ia1 => Ia-2 p = 0.000000,0.555556,1807,F
Ia1 => Ia-2 p = 0.000000,0.592593,308,F
Ia1 => Ia-2 p = 0.000000,0.629630,204,T
Name,Value,freq,original
Ia1 => Ia1 p = 0.000000,1.000000,10000000,T
Name,Value,freq,original
Ia1 => Ib-2 p = 0.000656,0.074074,396,F
Ia1 => Ib-2 p = 0.000656,0.111111,6167,F
Ia1 => Ib-2 p = 0.000656,0.148148,31642,T
Ia1 => Ib-2 p = 0.000656,0.185185,137597,F
