Name,Value,freq,original
p = 0.024795,3,7968,F
p = 0.024795,4,53554,F
p = 0.024795,5,186426,F
p = 0.024795,6,413564,T
p = 0.024795,7,637223,F
p = 0.024795,8,789150,F
p = 0.024795,9,833520,F
p = 0.024795,10,816336,F
p = 0.024795,11,757890,F
p = 0.024795,12,722551,F
p = 0.024795,13,693877,F
p = 0.024795,14,700734,F
p = 0.024795,15,706651,F
p = 0.024795,16,695074,F
p = 0.024795,17,627164,F
p = 0.024795,18,507228,F
p = 0.024795,19,365996,F
p = 0.024795,20,236804,F
p = 0.024795,21,132030,F
p = 0.024795,22,68236,F
p = 0.024795,23,29980,F
p = 0.024795,24,12454,F
p = 0.024795,25,3907,F
p = 0.024795,26,1224,F
p = 0.024795,27,358,F
p = 0.024795,28,69,F
p = 0.024795,29,28,F
p = 0.024795,30,4,F
