Name,Value,freq,original
p = 0.056211,3,3553,F
p = 0.056211,4,32665,F
p = 0.056211,5,145405,F
p = 0.056211,6,380491,F
p = 0.056211,7,743752,T
p = 0.056211,8,1118165,F
p = 0.056211,9,1384488,F
p = 0.056211,10,1471851,F
p = 0.056211,11,1390085,F
p = 0.056211,12,1146217,F
p = 0.056211,13,881799,F
p = 0.056211,14,604075,F
p = 0.056211,15,366733,F
p = 0.056211,16,189170,F
p = 0.056211,17,89915,F
p = 0.056211,18,35166,F
p = 0.056211,19,11431,F
p = 0.056211,20,3581,F
p = 0.056211,21,1043,F
p = 0.056211,22,360,F
p = 0.056211,23,55,F
