Name,Value,freq,original
p = 0.232183,0,2321834,F
p = 0.232183,1,1598919,T
p = 0.232183,2,724052,F
p = 0.232183,3,784242,F
p = 0.232183,4,702436,F
p = 0.232183,5,584979,F
p = 0.232183,6,457908,F
p = 0.232183,7,348473,F
p = 0.232183,8,257902,F
p = 0.232183,9,216227,F
p = 0.232183,10,207454,F
p = 0.232183,11,217606,F
p = 0.232183,12,215167,F
p = 0.232183,13,207249,F
p = 0.232183,14,188515,F
p = 0.232183,15,172619,F
p = 0.232183,16,149485,F
p = 0.232183,17,127084,F
p = 0.232183,18,108578,F
p = 0.232183,19,89454,F
p = 0.232183,20,71540,F
p = 0.232183,21,57371,F
p = 0.232183,22,45031,F
p = 0.232183,23,33636,F
p = 0.232183,24,26231,F
p = 0.232183,25,20757,F
p = 0.232183,26,16017,F
p = 0.232183,27,12299,F
p = 0.232183,28,10208,F
p = 0.232183,29,7364,F
p = 0.232183,30,5200,F
p = 0.232183,31,3906,F
p = 0.232183,32,2671,F
p = 0.232183,33,1830,F
p = 0.232183,34,1414,F
p = 0.232183,35,991,F
p = 0.232183,36,752,F
p = 0.232183,37,638,F
p = 0.232183,38,613,F
p = 0.232183,39,390,F
p = 0.232183,40,289,F
p = 0.232183,41,313,F
p = 0.232183,42,196,F
p = 0.232183,43,56,F
p = 0.232183,44,17,F
p = 0.232183,45,77,F
p = 0.232183,46,10,F
