Name,Value,freq,original
p = 0.025460,8,55,F
p = 0.025460,9,103,F
p = 0.025460,10,136,F
p = 0.025460,11,577,F
p = 0.025460,12,740,F
p = 0.025460,13,1282,F
p = 0.025460,14,2889,F
p = 0.025460,15,5025,F
p = 0.025460,16,7504,F
p = 0.025460,17,12710,F
p = 0.025460,18,19741,F
p = 0.025460,19,27906,F
p = 0.025460,20,41161,F
p = 0.025460,21,61924,F
p = 0.025460,22,86674,F
p = 0.025460,23,117572,F
p = 0.025460,24,152403,F
p = 0.025460,25,194314,F
p = 0.025460,26,239785,F
p = 0.025460,27,290652,F
p = 0.025460,28,336753,F
p = 0.025460,29,381290,F
p = 0.025460,30,420769,F
p = 0.025460,31,444009,F
p = 0.025460,32,460559,F
p = 0.025460,33,475119,F
p = 0.025460,34,474339,F
p = 0.025460,35,470597,F
p = 0.025460,36,454323,F
p = 0.025460,37,432652,F
p = 0.025460,38,412141,F
p = 0.025460,39,391703,F
p = 0.025460,40,367193,F
p = 0.025460,41,344807,F
p = 0.025460,42,318432,F
p = 0.025460,43,300966,F
p = 0.025460,44,274857,F
p = 0.025460,45,252910,F
p = 0.025460,46,228512,F
p = 0.025460,47,206863,F
p = 0.025460,48,184620,F
p = 0.025460,49,164910,F
p = 0.025460,50,143652,F
p = 0.025460,51,128948,F
p = 0.025460,52,114538,F
p = 0.025460,53,97029,F
p = 0.025460,54,79412,F
p = 0.025460,55,66413,F
p = 0.025460,56,53927,T
p = 0.025460,57,42338,F
p = 0.025460,58,35006,F
p = 0.025460,59,33262,F
p = 0.025460,60,31158,F
p = 0.025460,61,25875,F
p = 0.025460,62,20933,F
p = 0.025460,63,14211,F
p = 0.025460,64,10526,F
p = 0.025460,65,7625,F
p = 0.025460,66,4800,F
p = 0.025460,67,4028,F
p = 0.025460,68,3418,F
p = 0.025460,69,2533,F
p = 0.025460,70,2055,F
p = 0.025460,71,1546,F
p = 0.025460,72,1687,F
p = 0.025460,73,1482,F
p = 0.025460,74,1257,F
p = 0.025460,75,1447,F
p = 0.025460,76,1472,F
p = 0.025460,77,1081,F
p = 0.025460,78,756,F
p = 0.025460,79,403,F
p = 0.025460,80,172,F
p = 0.025460,81,249,F
p = 0.025460,82,215,F
p = 0.025460,83,102,F
p = 0.025460,84,114,F
p = 0.025460,85,48,F
p = 0.025460,86,35,F
p = 0.025460,87,67,F
p = 0.025460,88,21,F
p = 0.025460,89,444,F
p = 0.025460,90,1168,F
p = 0.025460,91,1192,F
p = 0.025460,92,1289,F
p = 0.025460,93,483,F
p = 0.025460,94,106,F
